力量コード  ###[education_code]###,力量名  ###[education_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,学習形態  ###[learning_form]###,提供者  ###[provider]###,カリキュラム  ###[curriculum]###,対象者  ###[target]###,場所  ###[place]###,費用  ###[cost]###,受講期間  ###[course_period]###,学習時間（時間）  ###[learning_hour]###,学習時間（分）  ###[learning_time]###,社外講師  ###[external_lecturer]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
EDU00078,ホッチキス基礎,CTG201061600,知識＞製品＞製品群＞文具・事務機,EDUCATION_DEFAULT,0,通知しない,製品の市場、用途、構成、使用（構成）技術、注意点（過去トラなど）を知っている,,強調する,全メンバーに公開,,,,,,0,,0,0,,"第5設計G , 00_開発本部 , 第1設計G , 新技術推進部 , 第2設計G , 第3設計G , 第4設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00001,機械設計法ー基本部品設計,CTG201010000,知識＞製品＞共通（メカ）,EDUCATION_DEFAULT,0,通知しない,機械要素（ばね、軸受、歯車、ねじなど）の設計を知っている,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 2G-スキル・知識 , 3G1-スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 3G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 3G3-スキル・知識 , 4G-スキル、知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 3G2-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00002,機械設計法ー生産性設計,CTG201010000,知識＞製品＞共通（メカ）,EDUCATION_DEFAULT,0,通知しない,加工方法や材料毎の設計方法、表面処理や公差設定を知っている,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 2G-スキル・知識 , 3G1-スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 3G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 3G3-スキル・知識 , 4G-スキル、知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 3G2-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00003,機械設計法ー組み合わせ設計,CTG201010000,知識＞製品＞共通（メカ）,EDUCATION_DEFAULT,0,通知しない,伝達機構・リンク機構とアセンブリ設計や公差解析を知っている,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 2G-スキル・知識 , 3G1-スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 3G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 3G3-スキル・知識 , 4G-スキル、知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 1SEC-スキル・知識 , 2SEC-スキル・知識 , 3SEC-スキル・知識 , プロトSEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 3G2-スキル・知識 , 2G3SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00004,電源回路基礎,CTG201020000,知識＞製品＞共通（ハード）,EDUCATION_DEFAULT,0,通知しない,セミナーやｅラーニングで基礎知識を得た,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G1-スキル・知識 , 2G2SEC-スキル・知識 , 3G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 3G3-スキル・知識 , 4G-スキル、知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00005,受動部品基礎,CTG201020000,知識＞製品＞共通（ハード）,EDUCATION_DEFAULT,0,通知しない,セミナーやｅラーニングで基礎知識を得た,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G1-スキル・知識 , 3G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 3G3-スキル・知識 , 4G-スキル、知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00006,論理回路基礎,CTG201020000,知識＞製品＞共通（ハード）,EDUCATION_DEFAULT,0,通知しない,セミナーやｅラーニングで基礎知識を得た,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G1-スキル・知識 , 3G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 3G3-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00007,オペアンプ基礎,CTG201020000,知識＞製品＞共通（ハード）,EDUCATION_DEFAULT,0,通知しない,セミナーやｅラーニングで基礎知識を得た,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G1-スキル・知識 , 3G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 3G3-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00008,電池基礎,CTG201020000,知識＞製品＞共通（ハード）,EDUCATION_DEFAULT,0,通知しない,セミナーやｅラーニングで基礎知識を得た,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 4G3SECｰスキル、知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00009,モータ基礎,CTG201020000,知識＞製品＞共通（ハード）,EDUCATION_DEFAULT,0,通知しない,セミナーやｅラーニングで基礎知識を得た,,強調する,全メンバーに公開,,,,,,0,,0,0,,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G1-スキル・知識 , 3G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , 4G-スキル、知識 , 3G3-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EDU00010,マイコン基礎,CTG201030000,知識＞製品＞共通（ハード／ソフト）,EDUCATION_DEFAULT,0,通知しない,マイコンの構成、動作、機能を知っている,,強調する,全メンバーに公開,,,,,,0,,0,0,,"01_確認用 , 00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"2G-スキル・知識 , 3G1-スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 新技術推進部ー知識 , サンプルデータ , 4G-スキル、知識 , 第2SEC－スキル・知識 , 3G3-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , 2G2SEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
